Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2012/12/11,625088,64997,229666,37817,102835,101300,142494,12629,34571,64254,18072,101058,546491,600131,78597,24957
2012/12/18,633191,66273,216634,41112,97538,106195,132662,20241,36803,67062,19975,106614,556721,604001,76470,29190
2012/12/24,630843,70194,207066,39862,92885,110035,128155,26233,37509,64512,17287,110633,560902,601649,69941,29193
2012/12/31,595223,66179,202517,39446,98891,100341,130258,24497,27279,68627,20722,92440,524570,566686,70653,28537
2013/1/8,615254,70941,205737,54923,101284,95616,120191,28076,36021,70337,18799,100173,548202,585706,67052,29548
2013/1/15,638659,73645,208614,50043,107979,105315,123533,24075,38689,69263,17503,106836,567324,609012,71336,29648
2013/1/22,659275,77160,217021,46129,110752,105602,127938,20442,44956,67782,16094,116647,586213,631515,73062,27760
2013/1/29,598100,78072,210187,55392,95727,91839,116948,34867,27830,66242,17253,92327,528650,570030,69450,28070
2013/2/5,610796,66216,203105,52861,98520,96087,121755,34829,32120,75059,17489,99681,543779,581831,67017,28965
2013/2/12,628752,70643,197120,57710,94724,100134,119403,49153,33497,77035,18704,101901,560323,595233,68429,33519
2013/2/19,666103,75786,180017,61294,85098,108457,107935,65617,45521,81392,25331,116303,596688,626343,69415,39760
2013/2/26,642459,71140,178765,54507,81180,109077,115872,61692,35966,81085,21626,113039,580685,601345,61774,41114
2013/3/5,666993,77128,174861,56497,80552,113121,108391,68760,41400,74297,18916,131291,602126,628902,64867,38091
2013/3/12,681973,79504,174229,54087,90161,115745,113321,70126,44645,75807,16708,134048,617157,645661,64816,36312
2013/3/19,703073,80961,179207,39298,95140,125545,126584,56391,51262,72338,14534,143017,639005,665098,64068,37975
2013/3/26,633658,79643,176640,37699,94781,113513,116045,55919,36855,78685,11079,111030,573471,599817,60187,33840
2013/4/2,647002,76927,159940,42278,92911,118050,115329,68165,38878,78060,14764,119511,589033,612221,57969,34782
2013/4/9,653859,76515,154888,41855,100746,120013,121162,65078,39908,74659,18191,120814,594927,619639,58933,34220
2013/4/16,808120,97079,169804,41350,91276,169781,121321,59742,49993,63375,18877,207991,750892,767465,57229,40656
2013/4/23,824660,106073,155820,45644,81970,173704,115894,69726,56867,58702,21179,217574,774457,776839,50204,47821
2013/4/30,749677,107156,150533,43260,83714,155181,118065,63303,45775,53836,22708,181088,704361,702303,45316,47374
2013/5/7,780761,115402,153498,47696,86784,165084,116634,67374,46833,51932,22320,190697,734278,732591,46483,48170
2013/5/14,807394,130874,158352,42093,84769,168995,113648,74432,48446,49635,19908,204199,757889,759100,49504,48294
