,close,high,low,ma10,ma20,ma5,ma5-ma20,ma60,open,vol
2011-04-25,975.18,1001.08,974.99,1004.37,1011.88,998.58,-1.31438510495,1052.17,1001.08,1990286.0
2011-04-26,958.29,973.56,954.98,1000.18,1006.18,991.37,-1.47190363553,1051.07,970.96,1969918.0
2011-04-27,942.54,961.64,936.99,992.36,1000.7,978.24,-2.24442889977,1050.2,956.77,1827124.0
2011-04-28,904.15,944.7,903.03,981.12,994.95,956.96,-3.81828232575,1048.95,941.2,1934849.0
2011-04-29,912.72,912.72,897.2,971.38,990.27,938.58,-5.21978854252,1047.56,901.16,1317671.0
2011-05-03,922.07,923.06,907.28,963.26,985.96,927.95,-5.88360582579,1046.05,911.79,1226499.0
2011-05-04,903.99,919.67,901.92,954.23,980.4,917.09,-6.45756833945,1044.1,919.67,1270601.0
2011-05-05,914.59,919.6,900.35,944.87,976.42,911.5,-6.64877818971,1042.19,901.48,1473808.0
2011-05-06,918.28,920.77,904.74,935.65,972.11,914.33,-5.94377179537,1040.29,910.14,1334006.0
2011-05-09,931.77,935.9,920.12,928.36,967.75,918.14,-5.1263239473,1038.73,920.12,1557071.0
2011-05-10,931.21,933.24,925.04,923.96,964.17,919.97,-4.58425381416,1036.52,932.88,1267213.0
2011-05-11,929.95,933.28,923.26,921.13,960.66,925.16,-3.6953760956,1034.16,931.51,1596040.0
2011-05-12,909.26,927.15,909.14,917.8,955.08,924.09,-3.24475436613,1031.2,927.15,1646752.0
2011-05-13,909.77,912.61,897.8,918.36,949.74,922.39,-2.87973550656,1028.23,909.25,1544289.0
2011-05-16,906.34,916.02,906.08,917.72,944.55,917.31,-2.88391297443,1024.89,911.34,1332883.0
2011-05-17,895.15,904.48,890.36,915.03,939.15,910.09,-3.09428738753,1021.22,903.98,1624413.0
2011-05-18,890.79,894.89,888.18,913.71,933.97,902.26,-3.39518399949,1017.72,891.99,1744464.0
2011-05-19,884.89,895.54,883.87,910.74,927.81,897.39,-3.27868852459,1013.84,891.48,1448972.0
2011-05-20,875.43,884.33,873.87,906.46,921.05,890.52,-3.31469518484,1010.3,884.06,1416626.0
2011-05-23,840.9,873.59,840.65,897.37,912.86,877.43,-3.88120850952,1005.74,873.31,2047422.0
2011-05-24,870.94,876.6,828.5,891.34,907.65,872.59,-3.86272241503,1001.89,836.79,2782844.0
2011-05-25,842.35,867.68,842.12,882.58,901.85,862.9,-4.31890003881,997.68,867.68,2176375.0
2011-05-26,830.92,852.98,830.64,874.75,896.27,852.11,-4.92708670378,993.2,843.62,1741445.0
2011-05-27,822.94,835.87,819.87,866.07,892.21,841.61,-5.6713105659,988.62,830.61,1849514.0
2011-05-30,834.32,844.97,816.39,858.86,888.29,840.3,-5.40251494444,984.37,819.87,2335782.0
2011-05-31,846.32,846.32,828.66,853.98,884.51,835.37,-5.55561836497,980.74,836.35,2499466.0
2011-06-01,851.17,852.66,843.29,850.02,881.86,837.13,-5.07223368789,977.06,846.48,2358778.0
2011-06-02,833.74,841.52,823.1,844.9,877.82,837.7,-4.57041306874,972.99,841.52,2095702.0
2011-06-03,847.55,849.73,832.53,842.11,874.29,842.62,-3.62236786421,969.03,833.44,1958064.0
2011-06-07,847.71,848.22,842.46,842.8,870.08,845.3,-2.84801397573,965.04,845.25,1598940.0
2011-06-08,844.98,846.93,836.99,840.2,865.77,845.03,-2.39555540155,960.89,846.67,2043436.0
2011-06-09,828.02,843.58,828.02,838.77,860.67,840.4,-2.35514192431,956.33,843.58,2017611.0
2011-06-10,824.03,826.54,811.09,838.08,856.41,838.46,-2.09595871136,951.6,825.55,1785816.0
2011-06-13,829.36,833.25,811.39,838.72,852.39,834.82,-2.06126303687,947.18,820.24,1614046.0
2011-06-14,838.47,840.69,829.27,839.13,849.0,832.97,-1.88810365135,942.78,829.51,1703028.0
2011-06-15,827.53,840.54,826.94,837.26,845.62,829.48,-1.9086587356,938.6,837.54,2073052.0
2011-06-16,810.71,822.55,809.93,833.21,841.61,826.02,-1.85240194389,934.05,822.37,1731523.0
2011-06-17,802.64,813.21,801.31,830.1,837.5,821.74,-1.88179104478,929.59,809.16,1428628.0
2011-06-20,791.76,800.62,787.57,824.52,833.32,814.22,-2.29203667259,924.99,800.62,1477888.0
2011-06-21,795.61,796.85,786.33,819.31,831.05,805.65,-3.05637446604,920.31,792.0,1508401.0
2011-06-22,791.51,798.24,788.56,813.96,827.08,798.45,-3.46157566378,915.54,797.42,1847725.0
2011-06-23,814.44,815.78,783.86,812.61,825.69,799.19,-3.20943695576,911.24,790.7,3043269.0
2011-06-24,832.32,835.3,810.58,813.43,825.76,805.13,-2.49830459213,907.58,812.31,3506956.0
2011-06-27,843.86,850.39,832.62,814.89,826.8,815.55,-1.36066763425,904.66,832.62,3397416.0
2011-06-28,844.18,844.96,836.94,815.45,827.29,825.26,-0.245379492077,901.95,843.98,2329661.0
2011-06-29,836.38,850.36,836.38,816.34,826.8,834.24,0.899854862119,899.09,844.85,2870804.0
2011-06-30,845.92,846.88,834.82,819.86,826.54,840.53,1.69259805938,896.27,834.82,2412281.0
2011-07-01,855.27,862.34,847.54,825.13,827.61,845.13,2.116939138,893.95,847.54,3052681.0
2011-07-04,876.17,876.17,856.5,833.57,829.04,851.58,2.71880729518,891.81,856.5,3605971.0
2011-07-05,883.42,885.78,876.9,842.35,830.83,859.44,3.4435444074,889.55,877.52,3429034.0
2011-07-06,894.28,894.28,877.82,852.62,833.29,871.01,4.52663538504,887.74,881.6,4005587.0
2011-07-07,899.8,911.87,891.73,861.16,836.88,881.79,5.36636076857,886.07,893.6,4980368.0
2011-07-08,894.91,902.05,888.22,867.42,840.43,889.71,5.86366502862,883.97,899.47,3350704.0
2011-07-11,903.31,903.9,889.82,873.36,844.12,895.14,6.04416433682,882.09,894.07,3138543.0
2011-07-12,891.52,898.99,888.58,878.1,846.78,896.76,5.90235952668,880.11,895.49,4134161.0
2011-07-13,913.09,913.09,890.3,885.77,851.06,900.53,5.81275115738,878.61,890.3,3773358.0
2011-07-14,932.78,932.78,913.49,894.46,857.16,907.13,5.829716739,877.58,913.49,5124319.0
2011-07-15,951.14,951.4,933.49,904.04,864.58,918.37,6.22151796248,876.63,935.54,6429022.0
2011-07-18,946.12,959.27,944.1,911.04,872.3,926.93,6.2627536398,875.56,952.03,4886468.0
2011-07-19,927.3,940.42,924.09,915.42,878.89,934.09,6.28064945556,874.27,940.42,4242889.0
2011-07-20,930.83,937.75,920.22,919.08,885.85,937.63,5.84523339166,873.53,932.21,3652248.0
2011-07-21,915.37,930.89,915.37,920.64,890.9,934.15,4.85464137389,872.81,930.26,3321787.0
2011-07-22,924.0,929.93,917.63,923.55,895.48,928.72,3.71197570018,872.5,917.63,3272156.0
2011-07-25,887.06,920.85,884.1,921.92,897.64,916.91,2.14674034134,872.22,920.85,4313444.0
2011-07-26,892.54,892.54,878.16,922.02,900.06,909.96,1.09992667156,871.88,884.02,2911907.0
2011-07-27,915.55,917.16,883.97,922.27,904.02,906.91,0.31968319285,871.77,890.03,3884076.0
2011-07-28,919.4,920.03,902.5,920.93,907.69,907.71,0.00220339543236,872.03,907.25,3749075.0
2011-07-29,913.28,924.84,910.24,917.14,910.59,905.56,-0.552389110357,872.01,919.53,3734791.0
2011-08-01,927.38,931.37,910.98,915.27,913.15,913.63,0.0525652959536,872.16,911.94,3717874.0
2011-08-02,932.12,932.12,905.01,915.75,915.59,921.54,0.649854192379,872.17,923.09,4822299.0
2011-08-03,945.51,951.59,918.64,917.22,918.15,927.54,1.02270870773,872.41,922.81,6078198.0
2011-08-04,937.48,950.03,935.42,919.43,920.03,931.15,1.20865623947,872.53,944.83,4490789.0
2011-08-05,919.19,926.62,899.32,918.95,921.25,932.34,1.20379918589,872.7,905.16,4278637.0
2011-08-08,877.44,913.32,859.16,917.99,919.95,922.34,0.259796728083,872.16,908.08,4853829.0
2011-08-09,878.76,884.84,835.28,916.61,919.32,911.68,-0.831049036244,871.7,849.0,4248659.0
2011-08-10,891.75,901.86,889.86,914.23,918.25,900.92,-1.8872855976,871.64,891.22,4152964.0
2011-08-11,915.49,915.49,870.29,913.84,917.38,896.53,-2.27277682095,872.05,873.12,4790986.0
2011-08-12,926.3,932.78,920.29,915.14,916.14,897.95,-1.98550439889,872.74,920.29,4554967.0
2011-08-15,942.49,946.8,928.98,916.65,915.96,910.96,-0.545875365736,873.86,928.98,4478420.0
2011-08-16,933.14,944.87,929.79,916.76,916.25,921.83,0.609004092769,875.4,942.95,4114517.0
2011-08-17,936.16,941.45,926.02,915.82,916.52,930.71,1.54824771964,876.48,932.01,4004712.0
2011-08-18,915.68,935.11,915.26,913.64,916.54,930.76,1.55148711458,877.71,934.58,3953249.0
2011-08-19,912.42,912.42,891.8,912.96,915.96,927.97,1.3111926285,879.07,895.65,4432501.0
2011-08-22,910.61,925.39,907.86,916.28,917.13,921.6,0.48739001014,880.53,913.61,4341367.0
2011-08-23,936.42,936.42,912.35,922.04,919.33,922.26,0.318710365157,882.23,912.35,5674449.0
2011-08-24,940.2,954.23,939.28,926.89,920.56,923.07,0.272660119927,883.79,940.42,6468434.0
2011-08-25,942.94,943.72,927.36,929.64,921.74,928.52,0.735565343806,885.32,942.64,5311157.0
2011-08-26,952.81,954.72,937.97,932.29,923.72,936.6,1.39436192786,887.31,940.53,5508088.0
2011-08-29,954.03,959.67,947.73,933.44,925.05,945.28,2.18690881574,889.08,951.55,5130036.0
