      date,    open,    high,    low,    close,         vol,  ma5  ,  ma10  ,  ma20   ,   ma60  ,ma5-ma20
 2011/06/20,1910.29,1915.54,1896.98,1904.8,15165620,1933.25,1947.6,1965.93,2060,-1.66231758
 2011/06/21,1910.5,1925.15,1906.8,1923.82,15589255,1924,1941.55,1962.46,2057.48,-1.959785168
 2011/06/22,1927.11,1932.55,1913.72,1923.56,13777196,1918.35,1935.85,1958.89,2055.14,-2.069539382
 2011/06/23,1916.97,1956.75,1911.84,1950.87,16368103,1923.1,1936.13,1957.86,2052.71,-1.775407843
 2011/06/24,1940.09,2009.96,1938.33,1997.3,31247138,1940.05,1940.75,1959.01,2050.95,-0.967835795
 2011/06/27,1994.99,2007.78,1984.9,1994.58,20516600,1958.05,1945.65,1959.91,2049.24,-0.094902317
 2011/06/28,1996.23,1998.56,1975.63,1993.72,17375924,1972.05,1948.03,1960.56,2047.44,0.586057045
 2011/06/29,1991.47,1992,1959.56,1960.77,20461468,1979.45,1948.9,1958.07,2045.39,1.091891505
 2011/06/30,1965.06,2003.64,1965.06,1989.43,22097968,1987.15,1955.13,1957.4,2043.1,1.519873301
 2011/07/01,1994.09,2002.04,1978.46,1986.03,20329962,1984.95,1962.5,1958.56,2039.95,1.347418512
 2011/07/04,1996.26,2035.74,1996.26,2033.85,28501544,1992.75,1975.4,1961.5,2037.6,1.593168493
 2011/07/05,2034.81,2040.09,2018.53,2029.62,24088428,1999.9,1985.97,1963.76,2035,1.840347089
 2011/07/06,2025.4,2025.4,1997.99,2017.17,22343952,2011.2,1995.32,1965.59,2032.36,2.320422876
 2011/07/07,2030.04,2038.12,2005.44,2006.14,27595062,2014.6,2000.88,1968.5,2029.7,2.341884684
 2011/07/08,2010.52,2026.11,2002.25,2014.73,19569026,2020.3,2002.63,1971.69,2026.63,2.465397705
 2011/07/11,2006.07,2015.5,1996.02,2010.69,15700922,2015.65,2004.2,1974.93,2023.63,2.06184523
 2011/07/12,1994.94,1994.94,1966.47,1968.08,19624800,2003.4,2001.65,1974.84,2019.75,1.446193109
