      date,    open,    high,    low,    close,         ³É½»Á¿,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1985/07/01,1335.34,1337.37,1327.17,1337.14,0,1330.28,1319.83,1315.29,1288.35,0,0,0,10.01,8.03,3.95
 1985/07/02,1335.68,1340.28,1332.77,1334,0,1332.48,1322.75,1316.23,1289.7,0,0,0,10.25,8.48,3.55
 1985/07/03,1334.01,1334.68,1325.83,1326.38,0,1332.99,1325.66,1316.52,1290.91,0,0,0,9.72,8.73,1.99
 1985/07/05,1326.73,1336.36,1326.73,1334.45,0,1333.44,1329.13,1316.88,1292.16,0,0,0,9.83,8.95,1.77
 1985/07/08,1334.34,1334.34,1324.6,1328.4,0,1332.07,1329.52,1317.48,1293.23,0,0,0,9.33,9.02,0.61
 1985/07/09,1328.63,1328.63,1320.45,1321.9,0,1329.03,1329.65,1317.65,1294.17,0,0,0,8.31,8.88,-1.15
 1985/07/10,1321.91,1332.88,1320.79,1332.88,0,1328.8,1330.64,1318.6,1295.27,0,0,0,8.29,8.76,-0.95
 1985/07/11,1331.77,1337.69,1331.77,1337.69,0,1331.06,1332.03,1320.17,1296.41,0,0,0,8.56,8.72,-0.32
 1985/07/12,1337.12,1339.94,1334.34,1338.59,0,1331.89,1332.67,1322.6,1297.51,0,0,0,8.75,8.73,0.05
 1985/07/15,1338.04,1345.21,1333.33,1335.4,0,1333.29,1332.68,1324.32,1298.68,0,0,0,8.55,8.69,-0.29
 1985/07/16,1336.13,1348.34,1335.46,1347.89,0,1338.49,1333.76,1326.79,1300.04,0,0,0,9.28,8.81,0.95
 1985/07/17,1348.12,1359.21,1348.12,1357.97,0,1343.51,1336.16,1329.46,1301.56,0,0,0,10.56,9.16,2.8
 1985/07/18,1357.82,1358.87,1350.36,1350.91,0,1346.15,1338.61,1332.13,1302.77,0,0,0,10.88,9.5,2.75
 1985/07/19,1350.65,1359.66,1350.25,1359.53,0,1350.34,1341.12,1335.12,1304.12,0,0,0,11.69,9.94,3.5
