date,open,high,low,close,vol
 2014/01/09,91.746,91.836,91.414,91.502,2759
 2014/01/10,91.456,91.75,91.456,91.542,2725
 2014/01/13,91.542,91.6,91.434,91.466,1421
 2014/01/14,91.458,91.54,91.436,91.482,1388
 2014/01/15,91.538,91.86,91.504,91.816,3614
 2014/01/16,91.84,91.848,91.618,91.64,1758
 2014/01/17,91.606,91.67,91.546,91.63,1525
 2014/01/20,91.61,91.784,91.56,91.782,1487
 2014/01/21,91.9,92.28,91.9,92.09,3202
 2014/01/22,92.15,92.376,92.122,92.222,2290
 2014/01/23,92.236,92.32,92.062,92.076,1854
 2014/01/24,92.058,92.198,91.994,92.198,1384
 2014/01/27,92.352,92.526,92.252,92.512,2890
 2014/01/28,92.53,92.53,92.25,92.334,1905
 2014/01/29,92.29,92.56,92.268,92.402,1258
 2014/01/30,92.402,92.402,92.2,92.254,716
 2014/02/07,92.254,92.54,92.254,92.514,1126
 2014/02/10,92.52,92.696,92.32,92.33,1665
 2014/02/11,92.37,92.56,92.27,92.526,2336
 2014/02/12,92.58,92.62,92.42,92.448,1716
 2014/02/13,92.498,92.588,92.42,92.584,1271
 2014/02/14,92.62,92.686,92.452,92.536,1428
 2014/02/17,92.5,92.5,92.224,92.264,1527
 2014/02/18,92.2,92.204,91.912,91.918,2375
 2014/02/19,91.988,92.04,91.802,91.832,2105
 2014/02/20,91.816,91.934,91.756,91.892,1623
 2014/02/21,92.546,92.6,92.486,92.492,835
 2014/02/24,92.542,92.742,92.528,92.692,1241
 2014/02/25,92.68,93.144,92.65,93.08,2054
 2014/02/26,93.102,93.128,92.844,92.886,1690
 2014/02/27,93.12,93.616,93.11,93.182,2508
 2014/02/28,93.182,93.246,92.998,93.238,2031
 2014/03/03,93.196,93.378,92.902,92.958,1786
 2014/03/04,92.906,93.078,92.566,92.61,2133
 2014/03/05,92.888,93.082,92.48,92.506,3598
 2014/03/06,92.456,92.716,92.382,92.692,2557
 2014/03/07,92.784,92.784,92.532,92.58,1307
 2014/03/10,92.65,92.846,92.596,92.724,1984
 2014/03/11,92.732,92.798,92.634,92.688,1539
 2014/03/12,92.746,92.788,92.502,92.738,1678
 2014/03/13,92.7,92.982,92.68,92.898,2142
 2014/03/14,92.898,93.04,92.866,92.972,1390
 2014/03/17,92.906,92.98,92.708,92.83,1113
 2014/03/18,92.798,92.868,92.55,92.6,1766
 2014/03/19,92.588,92.662,92.456,92.62,1724
 2014/03/20,92.556,92.742,92.51,92.628,1603
 2014/03/21,92.66,92.748,92.612,92.654,1069
 2014/03/24,92.678,92.714,92.602,92.616,607
 2014/03/25,92.632,92.67,92.478,92.648,1382
 2014/03/26,92.642,92.642,92.51,92.566,1063
 2014/03/27,92.566,92.57,92.45,92.536,942
 2014/03/28,92.512,92.58,92.5,92.53,520
 2014/03/31,92.506,92.566,92.492,92.546,571
 2014/04/01,92.546,92.546,92.366,92.408,1557
 2014/04/02,92.36,92.426,92.16,92.164,2082
 2014/04/03,92.1,92.1,91.948,91.978,2366
 2014/04/04,92.03,92.158,92.012,92.02,1214
 2014/04/08,92.084,92.096,91.92,92.03,1012
 2014/04/09,92.096,92.11,91.99,92.1,1049
 2014/04/10,92.098,92.268,92.07,92.258,1193
 2014/04/11,92.23,92.416,92.22,92.384,1270
 2014/04/14,92.384,92.608,92.33,92.566,1537
 2014/04/15,92.562,92.574,92.456,92.52,840
 2014/04/16,92.52,92.576,92.446,92.47,1439
 2014/04/17,92.7,93.008,92.636,92.646,2990
 2014/04/18,92.68,92.86,92.672,92.746,1300
 2014/04/21,92.746,92.818,92.676,92.698,752
 2014/04/22,92.7,92.7,92.2,92.518,1193
 2014/04/23,92.65,92.67,92.488,92.566,922
 2014/04/24,92.558,92.568,92.486,92.512,493
 2014/04/25,92.538,92.556,92.48,92.552,688
 2014/04/28,92.578,92.598,92.5,92.558,584
 2014/04/29,92.558,92.732,92.536,92.716,782
 2014/04/30,92.716,92.832,92.716,92.824,891
 2014/05/05,92.796,92.832,92.744,92.81,539
 2014/05/06,92.8,92.998,92.774,92.964,1508
 2014/05/07,92.966,93.038,92.958,92.992,845
 2014/05/08,92.972,93.07,92.95,93.05,803
 2014/05/09,93.15,93.42,93.132,93.326,1869
 2014/05/12,93.15,93.35,93.082,93.282,1059
 2014/05/13,93.262,93.394,93.1,93.15,900
 2014/05/14,93.052,93.164,92.982,93.014,1093
 2014/05/15,93.498,93.63,93.34,93.434,1486
 2014/05/16,93.5,93.55,93.43,93.518,617
 2014/05/19,93.6,93.67,93.45,93.478,1369
 2014/05/20,93.478,93.578,93.466,93.57,1431
 2014/05/21,93.57,93.666,93.556,93.664,1162
 2014/05/22,93.692,93.806,93.6,93.642,1665
 2014/05/23,93.682,93.682,93.52,93.642,1066
 2014/05/26,93.682,93.73,93.6,93.664,675
 2014/05/27,93.678,93.896,93.666,93.89,2420
 2014/05/28,93.9,94.3,93.9,94.268,3268
 2014/05/29,94.206,94.416,94.084,94.234,3474
 2014/05/30,94.25,94.668,94.228,94.614,3066
 2014/06/03,94.804,94.818,94.48,94.652,3486
 2014/06/04,94.688,94.988,94.668,94.972,4829
 2014/06/05,94.95,94.95,94.356,94.38,8473
 2014/06/06,94.51,94.538,94.272,94.404,3600
 2014/06/09,94.33,94.55,94.326,94.516,2191
 2014/06/10,94.612,94.75,94.41,94.416,3990
 2014/06/11,94.4,94.546,94.356,94.492,2194
 2014/06/12,94.5,94.52,94.38,94.38,1348
 2014/06/13,94.372,94.47,94.206,94.43,2430
 2014/06/16,94.4,94.736,94.398,94.69,2806
 2014/06/17,94.75,94.818,94.406,94.52,3586
 2014/06/18,94.512,94.56,94.37,94.52,2140
 2014/06/19,94.53,94.6,94.402,94.5,1235
 2014/06/20,94.5,95.796,94.458,94.544,1579
 2014/06/23,94.582,94.586,94.422,94.524,947
 2014/06/24,94.534,94.596,94.482,94.518,679
 2014/06/25,94.502,94.546,94.44,94.468,789
 2014/06/26,94.478,94.58,94.44,94.49,928
 2014/06/27,94.5,94.54,94.47,94.506,526
 2014/06/30,94.506,94.512,94.358,94.428,910
 2014/07/01,94.45,94.482,93.934,93.98,2810
 2014/07/02,93.986,94.086,93.806,93.816,2373
 2014/07/03,93.802,93.838,93.54,93.562,2311
 2014/07/04,93.528,93.8,93.3,93.766,3535
 2014/07/07,93.75,93.856,93.66,93.67,1261
 2014/07/08,93.686,93.756,93.608,93.692,931
 2014/07/09,93.694,93.75,93.626,93.65,648
 2014/07/10,93.67,93.73,93.418,93.706,769
 2014/07/11,93.69,93.818,93.69,93.786,834
 2014/07/14,93.786,93.786,93.564,93.596,898
 2014/07/15,93.57,93.648,93.368,93.402,1556
 2014/07/16,93.372,93.404,93.152,93.18,1999
 2014/07/17,93.18,93.18,92.88,92.904,2553
 2014/07/18,92.898,93.028,92.684,93,2691
 2014/07/21,92.958,93.08,92.882,93.058,1102
 2014/07/22,93.064,93.202,93.036,93.036,1583
 2014/07/23,93.036,93.038,92.906,92.94,1141
 2014/07/24,92.944,93.038,92.858,92.984,1993
 2014/07/25,93.016,93.288,92.98,93.27,1770
 2014/07/28,93.208,93.276,93.048,93.072,1582
 2014/07/29,93.086,93.086,92.902,93.04,1689
 2014/07/30,93.012,93.08,92.956,93.032,1175
 2014/07/31,92.974,93.224,92.902,93.158,2234
 2014/08/01,93.12,93.334,93.118,93.312,1951
 2014/08/04,93.268,93.37,93.19,93.266,1182
 2014/08/05,93.28,93.28,93.13,93.2,1454
 2014/08/06,93.276,93.37,92.952,93.06,3641
 2014/08/07,93.064,93.134,93.008,93.036,1221
 2014/08/08,93.046,93.068,92.972,92.99,909
 2014/08/11,92.998,93.058,92.938,92.97,1339
 2014/08/12,92.96,92.978,92.646,92.696,1388
 2014/08/13,92.788,93.014,92.64,93.008,2746
 2014/08/14,93.612,93.85,93.612,93.74,2899
 2014/08/15,93.8,93.876,93.75,93.836,2205
 2014/08/18,93.84,93.852,93.656,93.696,1593
 2014/08/19,93.696,93.706,93.37,93.452,2345
 2014/08/20,93.4,93.55,93.252,93.52,2427
 2014/08/21,93.522,93.682,93.518,93.572,1800
 2014/08/22,93.56,93.696,93.536,93.66,1135
 2014/08/25,93.648,93.65,93.554,93.606,474
 2014/08/26,93.598,93.786,93.524,93.76,1449
 2014/08/27,93.76,93.948,93.71,93.87,2019
 2014/08/28,93.948,93.95,93.75,93.778,1823
 2014/08/29,93.75,93.838,93.67,93.7,1006
 2014/09/01,93.7,93.78,93.602,93.74,958
 2014/09/02,93.8,93.81,93.5,93.61,1342
 2014/09/03,93.59,93.7,93.398,93.458,2493
 2014/09/04,93.404,93.444,93.35,93.36,1744
 2014/09/05,93.376,93.47,93.36,93.38,1950
 2014/09/09,93.45,93.508,93.38,93.49,1378
 2014/09/10,93.53,93.53,93.332,93.37,1352
 2014/09/11,93.372,93.468,93.302,93.406,1097
 2014/09/12,93.404,93.46,93.372,93.448,670
 2014/09/15,93.636,93.718,93.564,93.58,1850
 2014/09/16,93.608,93.618,93.506,93.58,1213
 2014/09/17,93.8,93.9,93.642,93.694,3833
 2014/09/18,93.754,94.324,93.68,94.306,5734
 2014/09/19,94.35,94.762,94.316,94.702,5979
 2014/09/22,94.7,94.85,94.46,94.714,4499
 2014/09/23,94.802,94.9,94.4,94.426,4770
 2014/09/24,94.42,94.514,94.278,94.406,2764
 2014/09/25,94.4,94.684,94.282,94.594,2641
 2014/09/26,94.58,94.616,94.4,94.448,1508
 2014/09/29,94.626,94.788,94.6,94.698,1618
 2014/09/30,94.724,94.8,94.676,94.752,1129
 2014/10/08,94.648,94.648,94.522,94.544,1084
 2014/10/09,94.544,94.55,94.302,94.5,1990
 2014/10/10,94.492,94.59,94.402,94.488,718
 2014/10/13,94.496,94.706,94.44,94.65,2092
 2014/10/14,94.696,95.31,94.598,95.222,5813
 2014/10/15,95.28,95.6,95.256,95.29,4620
 2014/10/16,95.55,95.618,95.26,95.438,4304
 2014/10/17,95.342,95.68,95.326,95.656,2798
 2014/10/20,95.8,96.048,95.72,95.996,5031
 2014/10/21,96.14,96.15,95.632,95.7,5236
 2014/10/22,95.666,95.766,95.364,95.444,4355
 2014/10/23,95.4,95.58,95.302,95.492,2711
 2014/10/24,95.452,95.744,95.34,95.632,3782
 2014/10/27,95.632,95.66,95.516,95.53,1989
 2014/10/28,95.612,95.838,95.554,95.828,3738
 2014/10/29,95.792,95.918,95.682,95.76,2800
 2014/10/30,95.68,95.822,95.392,95.432,4856
 2014/10/31,95.44,95.598,95.414,95.534,2652
 2014/11/03,95.75,96.06,95.702,95.91,4195
 2014/11/04,95.91,96.386,95.864,96.334,5006
 2014/11/05,96.88,97.2,96.682,97.172,6454
 2014/11/06,97.136,97.182,96.958,97.06,5274
 2014/11/07,97.32,97.564,97.23,97.524,6617
 2014/11/10,97.524,97.82,97.256,97.656,8188
 2014/11/11,97.758,98.072,97.268,97.344,13127
 2014/11/12,97.406,97.75,96.986,97.2,12143
 2014/11/13,97.15,97.38,96.83,97.008,12642
 2014/11/14,97.014,97.014,96.662,96.71,10820
 2014/11/17,96.72,96.98,96.4,96.4,8895
 2014/11/18,96.386,97.11,96.35,97.036,13741
 2014/11/19,97,97.16,96.702,96.788,10880
 2014/11/20,96.868,96.904,96.52,96.55,7498
 2014/11/21,96.54,96.914,96.25,96.83,14546
 2014/11/24,97.8,97.9,97.436,97.596,12162
 2014/11/25,97.7,97.75,97.202,97.29,15542
 2014/11/26,97.398,97.754,97.144,97.754,12292
 2014/11/27,97.724,97.75,97.484,97.606,9048
 2014/11/28,97.6,97.726,97.328,97.59,9834
 2014/12/01,97.5,97.92,97.284,97.562,11664
 2014/12/02,97.678,97.678,97.29,97.318,10124
 2014/12/03,97.25,97.28,96.43,96.64,15216
 2014/12/04,96.6,96.804,96,96.008,12914
 2014/12/05,95.9,95.9,95.22,95.628,17616
 2014/12/08,95.62,96.086,95.37,95.546,13992
 2014/12/09,94.9,95.76,94.51,95.7,24902
 2014/12/10,95.7,95.996,95.264,95.91,13213
 2014/12/11,96,96.148,95.5,95.518,10963
 2014/12/12,95.5,95.92,95.48,95.65,8174
 2014/12/15,95.648,95.82,95.59,95.756,4875
 2014/12/16,95.812,96.088,95.7,96.006,9753
 2014/12/17,95.9,96.514,95.732,96.396,13325
 2014/12/18,96.41,96.5,96.1,96.438,9179
 2014/12/19,96.4,96.6,96.208,96.522,9409
 2014/12/22,96.46,96.522,96.104,96.406,6564
 2014/12/23,96.45,96.79,96.45,96.726,6198
 2014/12/24,96.766,97.14,96.732,96.876,9873
 2014/12/25,96.882,97.02,96.64,96.68,8102
 2014/12/26,96.682,96.99,96.62,96.878,6684
 2014/12/29,96.93,97,96.75,96.838,4833
 2014/12/30,96.838,96.85,96.444,96.472,8409
 2014/12/31,96.43,96.798,96.22,96.772,7301
 2015/01/05,96.77,96.85,96.312,96.718,8901
 2015/01/06,96.65,96.72,96.44,96.536,4661
 2015/01/07,96.582,96.854,96.542,96.588,5246
 2015/01/08,96.586,96.792,96.586,96.68,4354
 2015/01/09,96.744,96.786,96.4,96.684,6152
 2015/01/12,96.6,96.74,96.48,96.7,3873
 2015/01/13,96.736,97.134,96.736,97.084,6919
 2015/01/14,97.1,97.3,97.032,97.178,7219
 2015/01/15,97.222,97.448,96.95,97.11,6128
 2015/01/16,97.26,97.512,97.098,97.45,7303
 2015/01/19,97.5,97.7,97.282,97.342,7860
 2015/01/20,97.3,97.578,97.052,97.51,6885
 2015/01/21,97.498,97.59,97.352,97.448,5223
 2015/01/22,97.52,97.738,97.472,97.688,6923
 2015/01/23,97.852,97.88,97.56,97.608,4437
 2015/01/26,97.61,97.818,97.49,97.8,4348
 2015/01/27,97.9,97.95,97.536,97.564,6313
 2015/01/28,97.41,97.598,97.314,97.598,6982
 2015/01/29,97.598,97.598,97.246,97.246,4337
 2015/01/30,97.2,97.4,97.188,97.298,4191
 2015/02/02,97.302,97.7,97.248,97.692,6294
 2015/02/03,97.686,97.818,97.542,97.716,4645
 2015/02/04,98.23,98.29,98.138,98.196,3785
 2015/02/05,98.5,98.522,98.118,98.132,5942
 2015/02/06,98.14,98.336,98.132,98.284,5284
 2015/02/09,98.3,98.384,98.286,98.33,3648
 2015/02/10,98.36,98.526,98.34,98.514,8720
 2015/02/11,98.506,98.964,98.506,98.96,12363
 2015/02/12,98.964,99.164,98.754,99.134,12215
 2015/02/13,99.12,99.314,98.956,99.17,8436
 2015/02/16,99.166,99.246,99.002,99.19,4518
 2015/02/17,99.288,99.494,99.186,99.39,6004
 2015/02/25,99.428,99.498,99.25,99.392,6382
 2015/02/26,99.37,99.37,98.96,99.15,8571
 2015/02/27,99.102,99.216,98.962,99.12,5958
 2015/03/02,99.27,99.27,98.664,98.808,10729
 2015/03/03,98.75,98.76,98.5,98.68,8895
 2015/03/04,98.65,98.906,98.62,98.75,11417
 2015/03/05,98.7,98.758,98.31,98.392,12529
 2015/03/06,98.35,98.8,98.162,98.47,21453
 2015/03/09,98.47,98.548,97.95,98.54,29091
 2015/03/10,98.402,98.5,98.012,98.318,31895
 2015/03/11,98.4,99,98.328,98.568,27970
 2015/03/12,98.592,98.938,98.56,98.802,27334
 2015/03/13,98.762,98.78,98.18,98.27,45232
 2015/03/16,98.266,98.354,98.02,98.106,19394
 2015/03/17,98.105,98.425,97.955,98.32,21614
 2015/03/18,98.35,98.43,97.825,97.825,15921
 2015/03/19,97.995,98.1,97.845,98.035,10085
 2015/03/20,98.16,98.295,98.06,98.17,6571
 2015/03/23,98.17,98.175,97.92,97.99,7134
 2015/03/24,98.065,98.26,97.84,97.94,10505
 2015/03/25,97.94,98.08,97.8,97.935,8731
 2015/03/26,98,98,97.4,97.405,11789
 2015/03/27,97.3,97.695,97.065,97.655,16364
 2015/03/30,97.5,97.52,96.825,97.15,25907
 2015/03/31,96.9,97.095,96.67,96.9,15338
 2015/04/01,96.95,97.36,96.84,97.305,10124
 2015/04/02,97.5,97.56,97.29,97.39,10754
 2015/04/03,97.45,97.48,96.96,97,10556
 2015/04/07,97.005,97.235,96.8,96.805,9466
 2015/04/08,96.855,96.97,96.275,96.32,19257
 2015/04/09,96.45,96.595,96.32,96.55,10995
 2015/04/10,96.55,96.7,96.41,96.45,10779
 2015/04/13,96.39,96.955,96.38,96.905,12681
 2015/04/14,96.95,97.265,96.75,96.75,14390
 2015/04/15,97,97.365,96.85,97.175,20214
 2015/04/16,97.21,97.29,97.07,97.25,8535
 2015/04/17,97.265,97.4,97.07,97.295,10115
 2015/04/20,97.68,98.075,97.58,98.075,11620
 2015/04/21,98.13,98.43,98.01,98.09,13430
 2015/04/22,98.09,98.25,97.965,98.2,8135
 2015/04/23,98.1,98.265,97.905,98.15,9187
 2015/04/24,98.1,98.1,97.755,97.845,9344
 2015/04/27,97.92,98.505,97.86,98.405,14143
 2015/04/28,98.35,98.49,98.26,98.38,7629
 2015/04/29,98.345,98.41,98.205,98.39,6243
 2015/04/30,98.43,98.62,98.4,98.46,8867
 2015/05/04,98.425,98.425,98.11,98.145,6679
 2015/05/05,98.075,98.21,97.95,98.015,8652
 2015/05/06,97.95,97.97,97.27,97.29,15563
 2015/05/07,97.285,97.53,97.1,97.245,11536
 2015/05/08,97.265,97.66,97.265,97.63,7722
 2015/05/11,98.415,98.415,97,97.665,9317
 2015/05/12,97.66,97.875,97.19,97.42,10396
 2015/05/13,97.4,97.615,97.245,97.445,7423
 2015/05/14,97.57,97.8,97.38,97.48,7454
 2015/05/15,98.09,98.335,98.09,98.32,3061
 2015/05/18,98.5,98.515,98.1,98.24,7129
 2015/05/19,98.2,98.25,97.5,97.89,8627
 2015/05/20,97.84,98.275,97.78,98.175,9075
 2015/05/21,98.16,98.22,97.7,97.985,6573
 2015/05/22,97.935,98.105,97.93,98.04,5965
 2015/05/25,98.005,98.085,97.71,97.785,6383
 2015/05/26,97.765,97.765,96.605,96.9,13450
 2015/05/27,96.93,97.185,96.67,96.835,9109
 2015/05/28,96.7,96.88,95.885,96.19,12109
 2015/05/29,96.16,96.295,95.92,96.115,7590
 2015/06/01,96.12,96.235,95.12,95.5,14312
 2015/06/02,95.705,96.28,95.63,96.18,12973
 2015/06/03,95.98,96.66,95.86,96.43,12792
 2015/06/04,96.4,96.575,95.98,96.25,11592
 2015/06/05,96.37,96.68,96.25,96.68,8415
 2015/06/08,96.595,96.92,96.465,96.87,7336
 2015/06/09,96.85,96.955,96.6,96.835,8370
 2015/06/10,96.75,96.78,95.99,96.22,9906
 2015/06/11,96.15,96.295,95.995,96.11,6956
 2015/06/12,96.155,96.42,95.85,96,10085
 2015/06/15,95.95,96.02,95.575,95.595,7871
 2015/06/16,95.65,96.345,95.55,96.27,12048
 2015/06/17,96.36,96.41,95.905,96.16,9442
 2015/06/18,96.21,96.595,96.115,96.515,7593
 2015/06/19,96.48,96.64,96.09,96.245,7714
 2015/06/23,96.13,96.22,95.82,96.105,8153
 2015/06/24,96.135,96.19,95.93,96.12,5368
 2015/06/25,95.975,96.595,95.94,96,10410
 2015/06/26,96,96.13,95.845,95.95,6832
 2015/06/29,96.12,96.275,95.585,95.725,9573
 2015/06/30,95.725,96.15,95.7,95.96,7151
 2015/07/01,95.94,96.055,95.705,95.725,4764
 2015/07/02,95.6,95.765,95.345,95.72,6119
 2015/07/03,95.72,96.455,95.7,96.295,8831
 2015/07/06,96.425,97.08,96.285,97.015,8808
 2015/07/07,97.21,97.37,96.91,97.17,6117
 2015/07/08,97.395,97.93,96.01,96.47,16715
 2015/07/09,96.475,97.53,96.35,97.075,8081
 2015/07/10,96.9,97.025,96.5,96.905,6768
 2015/07/13,96.85,97.3,96.73,96.945,5594
 2015/07/14,97.13,97.13,96.595,96.695,5086
 2015/07/15,96.56,96.93,96.4,96.72,5418
 2015/07/16,96.8,97.06,96.765,97.03,4009
 2015/07/17,96.99,97.235,96.81,97.08,4484
 2015/07/20,97.06,97.225,96.93,97.03,3628
 2015/07/21,96.98,96.995,96.71,96.815,4704
 2015/07/22,96.815,97.045,96.72,96.93,4817
 2015/07/23,97.045,97.35,97.04,97.305,5038
 2015/07/24,97.38,97.52,97.115,97.2,4713
 2015/07/27,97.205,97.33,97,97.3,4776
 2015/07/28,97.375,97.45,97.15,97.39,4530
 2015/07/29,97.39,97.49,97.26,97.4,3363
 2015/07/30,97.365,97.47,97.085,97.115,4431
 2015/07/31,97.135,97.14,96.51,96.605,9241
 2015/08/03,96.64,96.85,96.545,96.68,3876
 2015/08/04,96.68,97,96.645,96.83,5136
 2015/08/05,96.83,96.95,96.68,96.8,4126
 2015/08/06,96.81,97.19,96.73,97.11,4705
 2015/08/07,97.15,97.25,96.98,97.14,5053
 2015/08/10,97.125,97.235,96.855,96.95,3711
 2015/08/11,96.88,97.025,96.41,96.43,6517
 2015/08/12,96.4,96.635,96.065,96.615,7987
 2015/08/13,96.535,96.725,96.45,96.575,4542
 2015/08/14,96.605,96.7,96.48,96.65,3957
 2015/08/17,96.53,96.55,96.25,96.39,4231
 2015/08/18,98.12,98.29,98.045,98.28,3275
 2015/08/19,98.28,98.29,98.015,98.11,3187
 2015/08/20,98.09,98.25,98.02,98.225,2759
 2015/08/21,98.3,98.415,98.23,98.32,2981
 2015/08/24,98.325,98.6,98.315,98.56,4421
 2015/08/25,98.65,98.705,98.5,98.6,4006
 2015/08/27,98.765,99.19,98.75,99.13,4647
 2015/08/28,98.9,99.15,98.9,98.95,3910
 2015/08/31,98.95,99.345,98.915,99.21,5239
 2015/09/01,99.28,99.395,99.19,99.26,3560
 2015/09/02,99.265,99.34,98.955,99.05,3863
 2015/09/07,99.03,99.04,98.8,98.81,5684
 2015/09/08,98.79,98.79,98.495,98.66,10343
 2015/09/09,98.65,98.785,98.51,98.54,8994
 2015/09/10,98.54,98.85,98.375,98.755,9492
 2015/09/11,98.795,98.82,98.6,98.615,8641
 2015/09/14,98.65,98.805,98.61,98.75,6574
 2015/09/15,98.76,98.975,98.7,98.945,7081
 2015/09/16,98.97,99,98.75,98.84,8224
 2015/09/17,98.795,98.83,98.54,98.655,8029
 2015/09/18,98.67,98.89,98.6,98.7,11614
 2015/09/21,98.69,98.79,98.62,98.745,7558
 2015/09/22,98.745,98.78,98.505,98.59,9305
 2015/09/23,98.675,98.73,98.57,98.65,8097
 2015/09/24,98.64,98.82,98.525,98.82,8579
 2015/09/25,98.8,98.94,98.745,98.9,9207
 2015/09/28,98.89,99.035,98.875,99,6217
 2015/09/29,99.05,99.215,99.04,99.16,8321
 2015/09/30,99.16,99.215,99.01,99.215,7709
 2015/10/08,99.155,99.16,98.97,99.155,8434
 2015/10/09,99.15,99.9,99.12,99.9,19922
 2015/10/12,99.99,100.09,99.715,99.955,19894
 2015/10/13,100,100.395,99.85,100.28,22399
 2015/10/14,100.29,100.565,99.965,100.18,40565
 2015/10/15,100.18,100.18,99.86,100.005,35519
 2015/10/16,100,100,99.56,99.625,33464
 2015/10/19,99.67,99.85,99.615,99.74,25841
 2015/10/20,99.725,100.315,99.725,100.3,34135
 2015/10/21,100.3,100.38,100,100.05,36742
 2015/10/22,100.12,100.25,100.005,100.245,33370
 2015/10/23,100.245,100.465,100.05,100.055,48203
 2015/10/26,100.16,100.33,99.91,100.29,56190
 2015/10/27,100.32,100.65,100.2,100.595,61310
 2015/10/28,100.58,100.66,100.13,100.215,57376
 2015/10/29,100.19,100.2,99.84,99.86,53021
 2015/10/30,99.83,100.07,99.76,99.915,59665
