date,close-5y,close-10y,10y-5y,5f-10f,5y-close-open,10y-close-open
2015-11-09,99.085,97.29,0.162,1.795,-0.415,-0.61
2015-11-10,99.32,97.66,0.1478,1.66,0.21,0.355
2015-11-11,99.65,98.175,0.1031,1.475,0.32,0.465
2015-11-12,99.645,98.085,0.1293,1.56,0.02,0.09
2015-11-13,99.51,97.885,0.1415,1.625,-0.17,-0.365
2015-11-16,99.71,98.06,0.156,1.65,0.205,0.16
2015-11-17,99.795,98.13,0.1304,1.665,0.085,0.125
2015-11-18,99.31,97.625,0.1283,1.685,-0.22,-0.385
2015-11-19,99.37,97.705,0.1381,1.665,0.05,0.08
2015-11-20,99.7,98.235,0.1465,1.465,0.29,0.435
2015-11-23,99.64,98.045,0.141,1.595,0.0,-0.21
2015-11-24,99.88,98.51,0.1439,1.37,0.28,0.46
2015-11-25,99.88,98.59,0.1443,1.29,-0.03,0.0
2015-11-26,100.065,98.94,0.1413,1.125,0.205,0.33
2015-11-27,99.975,98.695,0.1598,1.28,-0.105,-0.235
2015-11-30,100.135,99.015,0.1561,1.12,0.155,0.32
2015-12-01,99.99,98.75,0.162,1.24,-0.17,-0.355
2015-12-02,100.02,98.83,0.1451,1.19,0.04,0.035
2015-12-03,100.105,98.965,0.1648,1.14,0.105,0.16
2015-12-04,100.045,98.86,0.1593,1.185,-0.055,-0.04
2015-12-07,100.115,98.95,0.1629,1.165,0.085,0.09
2015-12-08,100.23,99.195,0.1612,1.035,0.1,0.195
2015-12-09,100.22,99.17,0.1742,1.05,-0.03,-0.035
2015-12-10,100.18,99.105,0.1741,1.075,-0.02,-0.045
2015-12-11,100.34,99.37,0.1753,0.97,0.17,0.265
2015-12-14,100.09,98.87,0.1872,1.22,-0.195,-0.28
2015-12-15,100.2,99.085,0.1894,1.115,0.125,0.19
2015-12-16,100.245,99.16,0.1807,1.085,0.055,0.075
2015-12-17,100.24,99.15,0.219,1.09,0.005,-0.00999999999999
2015-12-18,100.62,99.56,0.2064,1.06,0.315,0.355
2015-12-21,100.78,99.805,0.1815,0.975,0.16,0.235
2015-12-22,100.775,99.905,0.1981,0.87,-0.025,0.01
2015-12-23,100.81,99.98,0.1666,0.83,0.05,0.08
2015-12-24,100.96,100.28,0.138,0.68,0.16,0.28
2015-12-25,100.86,100.26,0.1496,0.6,-0.115,-0.03
2015-12-28,100.955,100.48,0.1376,0.475,0.105,0.215
2015-12-29,100.83,100.23,0.1461,0.6,-0.12,-0.265
2015-12-30,100.785,100.15,0.1247,0.635,-0.045,-0.04
2015-12-31,100.68,100.035,0.1198,0.645,-0.11,-0.09
2016-01-04,100.595,99.865,0.1222,0.73,-0.075,-0.135
2016-01-05,100.33,99.595,0.104,0.735,-0.165,-0.165
2016-01-06,100.62,100.02,0.1263,0.6,0.28,0.47
2016-01-07,100.58,99.865,0.0973,0.715,-0.1,-0.22
2016-01-08,100.765,100.24,0.1015,0.525,0.155,0.28
2016-01-11,100.79,100.23,0.1257,0.56,0.045,0.02
2016-01-12,100.98,100.62,0.1267,0.36,0.14,0.315
2016-01-13,101.13,100.82,0.1232,0.31,0.1,0.015
2016-01-14,100.92,100.445,0.1429,0.475,-0.22,-0.46
2016-01-15,101.05,100.645,0.1184,0.405,0.16,0.265
2016-01-18,100.84,100.285,0.1333,0.555,-0.175,-0.325
2016-01-19,100.72,100.13,0.1321,0.59,-0.11,-0.165
2016-01-20,100.82,100.27,0.118,0.55,0.11,0.14
2016-01-21,100.86,100.365,0.12,0.495,0.05,0.16
2016-01-22,100.875,100.42,0.1084,0.455,0.005,0.03
2016-01-25,100.51,99.835,0.1076,0.675,-0.19,-0.365
2016-01-26,100.56,99.91,0.0983,0.65,0.04,0.04
2016-01-27,100.49,99.77,0.1022,0.72,0.05,0.075
2016-01-28,100.58,99.965,0.1052,0.615,0.07,0.16
2016-01-29,100.79,100.365,0.0927,0.425,0.11,0.165
2016-02-01,100.76,100.34,0.1111,0.42,-0.03,-0.055
