date,open,high,low,close
 2016/01/26,99.87,100.09,99.8,99.91
 2016/01/27,99.695,99.96,99.6,99.77
 2016/01/28,99.805,100,99.72,99.965
 2016/01/29,100.2,100.395,100.055,100.365
 2016/02/01,100.395,100.495,100.275,100.34
 2016/02/02,100.34,100.48,99.9,99.92
 2016/02/03,99.68,100.1,99.66,100.07
 2016/02/04,99.39,99.585,99.365,99.535
 2016/02/05,99.545,99.78,99.51,99.66
 2016/02/15,99.99,100.185,99.86,100.185
 2016/02/16,100.12,100.135,99.76,99.77
 2016/02/17,99.765,99.865,99.615,99.78
 2016/02/18,99.72,99.935,99.575,99.89
 2016/02/19,99.94,99.965,99.745,99.765
 2016/02/22,99.72,99.735,99.535,99.695
 2016/02/23,99.69,99.78,99.585,99.605
 2016/02/24,99.6,99.74,99.505,99.51
 2016/02/25,99.45,99.65,99.31,99.345
 2016/02/26,99.345,99.475,99.19,99.42
 2016/02/29,99.375,99.49,99.26,99.46
 2016/03/01,99.65,99.655,99.24,99.385
 2016/03/02,99.35,99.415,99.055,99.135
 2016/03/03,99.09,99.15,98.88,98.96
 2016/03/04,98.89,99.24,98.88,99.085
 2016/03/07,98.99,99,98.645,98.695
 2016/03/08,98.55,98.955,98.535,98.82
 2016/03/09,98.99,99.195,98.96,99.135
 2016/03/10,99.3,99.425,99.03,99.42
 2016/03/11,99.4,99.79,99.375,99.79
 2016/03/14,99.69,99.745,99.53,99.65
 2016/03/15,99.625,99.75,99.455,99.71
 2016/03/16,99.7,100.035,99.645,99.985
 2016/03/17,100,100.01,99.655,99.695
 2016/03/18,99.685,99.745,99.57,99.68
 2016/03/21,99.6,99.635,99.385,99.51
 2016/03/22,99.445,99.705,99.44,99.625
 2016/03/23,99.63,99.765,99.56,99.645
 2016/03/24,99.675,99.915,99.655,99.855
 2016/03/25,99.775,99.88,99.6,99.815
 2016/03/28,99.72,99.745,99.595,99.615
 2016/03/29,99.605,99.855,99.57,99.805
 2016/03/30,99.825,99.9,99.695,99.8
 2016/03/31,99.805,99.94,99.72,99.8
 2016/04/01,99.74,99.915,99.73,99.87
 2016/04/05,99.925,99.97,99.605,99.63
 2016/04/06,99.65,99.705,99.51,99.575
 2016/04/07,99.58,99.62,99.42,99.475
 2016/04/08,99.495,99.78,99.46,99.68
 2016/04/11,99.64,99.83,99.605,99.745
 2016/04/12,99.76,99.795,99.67,99.75
 2016/04/13,99.705,99.705,99.38,99.55
 2016/04/14,99.515,99.57,99.205,99.265
 2016/04/15,99.265,99.565,99.265,99.485
 2016/04/18,99.5,99.68,99.42,99.505
 2016/04/19,99.485,99.64,99.405,99.58
 2016/04/20,99.45,99.53,99.22,99.295
 2016/04/21,99.225,99.43,99.135,99.305
 2016/04/22,99.355,99.47,99.26,99.385
 2016/04/25,99.305,99.345,99.04,99.05
 2016/04/26,99.15,99.41,99.11,99.345
 2016/04/27,99.405,99.475,99.305,99.345
 2016/04/28,99.435,99.645,99.39,99.61
 2016/04/29,99.55,99.635,99.475,99.515
 2016/05/03,99.64,99.83,99.63,99.75
 2016/05/04,99.73,99.865,99.685,99.845
 2016/05/05,98.38,98.43,98.305,98.405
 2016/05/06,98.4,98.535,98.31,98.465
 2016/05/09,98.585,99.485,98.545,99.17
 2016/05/10,99.285,99.59,99.03,99.24
 2016/05/11,99.26,99.305,99.085,99.195
 2016/05/12,99.285,99.51,99.275,99.49
 2016/05/13,99.52,99.67,99.24,99.37
 2016/05/16,99.35,99.43,98.965,98.99
 2016/05/17,99.005,99.16,98.935,99.01
 2016/05/18,98.935,98.965,98.74,98.795
 2016/05/19,98.7,98.925,98.615,98.845
 2016/05/20,98.895,99.145,98.875,99.095
 2016/05/23,99.09,99.18,98.925,99.075
 2016/05/24,99.105,99.3,99.05,99.29
 2016/05/25,99.305,99.325,99.185,99.27
 2016/05/26,99.26,99.26,99.065,99.14
 2016/05/27,99.08,99.155,98.99,99.07
 2016/05/30,99.12,99.205,98.895,98.93
 2016/05/31,98.95,99.15,98.875,99.145
 2016/06/01,99.09,99.145,99.005,99.075
 2016/06/02,99.045,99.08,98.88,98.945
 2016/06/03,98.9,98.99,98.78,98.985
 2016/06/06,99.045,99.16,99.02,99.04
 2016/06/07,99.04,99.075,98.95,98.955
 2016/06/08,98.96,99.065,98.905,98.94
 2016/06/13,99,99.205,98.985,99.19
 2016/06/14,99.255,99.48,99.215,99.41
 2016/06/15,99.475,99.5,99.365,99.485
 2016/06/16,99.515,99.835,99.515,99.795
 2016/06/17,99.755,99.835,99.67,99.73
 2016/06/20,99.68,99.8,99.61,99.715
 2016/06/21,99.66,99.86,99.585,99.835
 2016/06/22,99.77,100.04,99.77,99.88
 2016/06/23,99.88,99.975,99.815,99.865
 2016/06/24,99.95,100.295,99.87,100.165
 2016/06/27,100.19,100.515,100.19,100.45
 2016/06/28,100.475,100.57,100.135,100.14
 2016/06/29,100.09,100.275,100.03,100.105
 2016/06/30,100.19,100.43,100.115,100.39
 2016/07/01,100.455,100.665,100.435,100.63
 2016/07/04,100.655,100.715,100.285,100.36
 2016/07/05,100.275,100.46,100.215,100.265
 2016/07/06,100.365,100.585,100.345,100.43
 2016/07/07,100.55,100.695,100.535,100.69
 2016/07/08,100.73,100.76,100.455,100.695
 2016/07/11,100.585,100.64,100.435,100.495
 2016/07/12,100.45,100.47,100.27,100.315
 2016/07/13,100.25,100.39,100.185,100.25
 2016/07/14,100.31,100.45,100.29,100.32
 2016/07/15,100.305,100.585,100.17,100.55
 2016/07/18,100.525,100.67,100.445,100.545
 2016/07/19,100.545,100.645,100.485,100.6
 2016/07/20,100.7,100.935,100.645,100.895
 2016/07/21,101.025,101.18,100.905,100.955
 2016/07/22,100.845,101.055,100.75,100.96
 2016/07/25,100.9,100.945,100.74,100.795
 2016/07/26,100.755,101.035,100.705,100.99
 2016/07/27,101.015,101.07,100.85,100.9
 2016/07/28,101,101.18,100.9,101.165
 2016/07/29,101.175,101.225,101.01,101.065
 2016/08/01,101.09,101.145,100.93,100.935
 2016/08/02,100.93,101.135,100.89,101.075
 2016/08/03,101.075,101.24,101.045,101.185
 2016/08/04,101.18,101.23,101.1,101.21
 2016/08/05,101.25,101.485,101.245,101.465
 2016/08/08,101.395,101.495,101.315,101.475
 2016/08/09,101.105,101.28,101.085,101.2
 2016/08/10,101.35,101.54,101.1,101.17
 2016/08/11,101.17,101.365,101.035,101.315
 2016/08/12,101.315,101.61,101.175,101.55
 2016/08/15,101.71,101.965,101.61,101.71
 2016/08/16,101.7,101.825,101.46,101.48
 2016/08/17,101.42,101.51,101.32,101.41
 2016/08/18,101.5,101.585,101.295,101.435
 2016/08/19,101.38,101.395,101.085,101.185
 2016/08/22,101.11,101.39,101.07,101.375
 2016/08/23,101.32,101.35,100.845,100.985
 2016/08/24,100.86,101.075,100.79,100.97
 2016/08/25,101.055,101.145,100.845,100.915
 2016/08/26,100.945,101.185,100.87,101.155
 2016/08/29,101.055,101.06,100.885,100.955
 2016/08/30,100.915,100.935,100.605,100.61
 2016/08/31,100.655,100.785,100.6,100.7
 2016/09/01,100.66,100.82,100.525,100.77
 2016/09/02,100.85,100.92,100.69,100.74
 2016/09/05,100.725,100.76,100.61,100.705
 2016/09/06,100.7,100.78,100.57,100.62
 2016/09/07,100.66,100.73,100.49,100.565
 2016/09/08,100.56,100.77,100.52,100.755
 2016/09/09,100.715,100.97,100.655,100.85
 2016/09/12,100.75,100.785,100.605,100.645
 2016/09/13,100.68,100.945,100.68,100.92
 2016/09/14,100.865,101.105,100.795,100.975
 2016/09/19,100.965,101.055,100.89,101.01
 2016/09/20,101.05,101.22,101.025,101.04
 2016/09/21,101.01,101.07,100.905,101.035
 2016/09/22,101.105,101.19,100.99,101.02
 2016/09/23,101.065,101.205,101.065,101.15
 2016/09/27,101.29,101.32,101.14,101.225
 2016/09/28,101.21,101.23,101.1,101.2
 2016/09/29,101.19,101.25,101.13,101.18
 2016/09/30,101.19,101.25,101.15,101.19
 2016/10/10,101.41,101.56,101.405,101.535
 2016/10/11,101.525,101.545,101.37,101.435
 2016/10/12,101.39,101.41,101.21,101.305
 2016/10/13,101.255,101.435,101.22,101.41
 2016/10/14,101.405,101.525,101.315,101.47
 2016/10/17,101.475,101.54,101.355,101.53
 2016/10/18,101.48,101.545,101.425,101.485
 2016/10/19,101.48,101.69,101.395,101.66
 2016/10/20,101.73,101.9,101.7,101.89
 2016/10/21,101.85,101.965,101.79,101.95
 2016/10/24,101.895,102.005,101.57,101.605
