date,close-5y,close-10y,10y-5y,5f-10f
2015/9/24,98.82,96.515,0.186,2.305
2015/9/25,98.9,96.665,0.1875,2.235
2015/9/28,99,96.935,0.1977,2.065
2015/9/29,99.16,97.23,0.1883,1.93
2015/9/30,99.215,97.315,0.1833,1.9
2015/10/8,99.155,97.27,0.1976,1.885
2015/10/9,99.9,98.13,0.1747,1.77
2015/10/12,99.955,98.185,0.1847,1.77
2015/10/13,100.28,98.72,0.1827,1.56
2015/10/14,100.18,98.715,0.1685,1.465
2015/10/15,100.005,98.53,0.1755,1.475
2015/10/16,99.625,98.07,0.1556,1.555
2015/10/19,99.74,98.22,0.1538,1.52
2015/10/20,100.3,99.165,0.1557,1.135
2015/10/21,100.05,98.885,0.1529,1.165
2015/10/22,100.245,99.29,0.1554,0.955
2015/10/23,100.055,98.955,0.1535,1.1
2015/10/26,100.29,99.245,0.1638,1.045
2015/10/27,100.595,99.765,0.1688,0.83
2015/10/28,100.215,99.39,0.1655,0.825
2015/10/29,99.86,98.685,0.1585,1.175
2015/10/30,99.915,98.83,0.1488,1.085
2015/11/2,99.945,98.805,0.1493,1.14
2015/11/3,99.75,98.6,0.1516,1.15
2015/11/4,99.625,98.355,0.1617,1.27
2015/11/5,99.89,98.665,0.1493,1.225
2015/11/6,99.655,98.255,0.1603,1.4
2015/11/9,99.085,97.29,0.162,1.795
2015/11/10,99.32,97.66,0.1478,1.66
2015/11/11,99.65,98.175,0.1031,1.475
2015/11/12,99.645,98.085,0.1293,1.56
2015/11/13,99.51,97.885,0.1415,1.625
2015/11/16,99.71,98.06,0.156,1.65
2015/11/17,99.795,98.13,0.1304,1.665
2015/11/18,99.31,97.625,0.1283,1.685
2015/11/19,99.37,97.705,0.1381,1.665
2015/11/20,99.7,98.235,0.1465,1.465
2015/11/23,99.64,98.045,0.141,1.595
2015/11/24,99.88,98.51,0.1439,1.37
2015/11/25,99.88,98.59,0.1443,1.29
2015/11/26,100.065,98.94,0.1413,1.125
2015/11/27,99.975,98.695,0.1598,1.28
2015/11/30,100.135,99.015,0.1561,1.12
2015/12/1,99.99,98.75,0.162,1.24
2015/12/2,100.02,98.83,0.1451,1.19
2015/12/3,100.105,98.965,0.1648,1.14
2015/12/4,100.045,98.86,0.1593,1.185
2015/12/7,100.115,98.95,0.1629,1.165
2015/12/8,100.23,99.195,0.1612,1.035
2015/12/9,100.22,99.17,0.1742,1.05
2015/12/10,100.18,99.105,0.1741,1.075
2015/12/11,100.34,99.37,0.1753,0.97
2015/12/14,100.09,98.87,0.1872,1.22
2015/12/15,100.2,99.085,0.1894,1.115
2015/12/16,100.245,99.16,0.1807,1.085
2015/12/17,100.24,99.15,0.219,1.09
2015/12/18,100.62,99.56,0.2064,1.06
2015/12/21,100.78,99.805,0.1815,0.975
2015/12/22,100.775,99.905,0.1981,0.87
2015/12/23,100.81,99.98,0.1666,0.83
2015/12/24,100.96,100.28,0.138,0.68
2015/12/25,100.86,100.26,0.1496,0.6
2015/12/28,100.955,100.48,0.1376,0.475
2015/12/29,100.83,100.23,0.1461,0.6
2015/12/30,100.785,100.15,0.1247,0.635
2015/12/31,100.68,100.035,0.1198,0.645
2016/1/4,100.595,99.865,0.1222,0.73
2016/1/5,100.33,99.595,0.104,0.735
2016/1/6,100.62,100.02,0.1263,0.6
2016/1/7,100.58,99.865,0.0973,0.715
2016/1/8,100.765,100.24,0.1015,0.525
2016/1/11,100.79,100.23,0.1257,0.56
2016/1/12,100.98,100.62,0.1267,0.36
2016/1/13,101.13,100.82,0.1232,0.31
2016/1/14,100.92,100.445,0.1429,0.475
2016/1/15,101.05,100.645,0.1184,0.405
2016/1/18,100.84,100.285,0.1333,0.555
2016/1/19,100.72,100.13,0.1321,0.59
2016/1/20,100.82,100.27,0.118,0.55
2016/1/21,100.86,100.365,0.12,0.495
2016/1/22,100.875,100.42,0.1084,0.455
2016/1/25,100.51,99.835,0.1076,0.675
2016/1/26,100.56,99.91,0.0983,0.65
2016/1/27,100.49,99.77,0.1022,0.72
2016/1/28,100.58,99.965,0.1052,0.615
2016/1/29,100.79,100.365,0.0927,0.425
2016/2/1,100.76,100.34,0.1111,0.42
2016/2/2,100.54,99.92,0.1323,0.62
2016/2/3,100.62,100.07,0.141,0.55
2016/2/4,100.735,99.535,0.1238,1.2
2016/2/5,100.405,99.66,0.1256,0.745
2016/2/15,100.69,100.185,0.1574,0.505
2016/2/16,100.47,99.77,0.1287,0.7
2016/2/17,100.46,99.78,0.1207,0.68
2016/2/18,100.53,99.89,0.1298,0.64
2016/2/19,100.46,99.765,0.125,0.695
2016/2/22,100.39,99.695,0.1739,0.695
2016/2/23,100.35,99.605,0.1872,0.745
2016/2/24,100.35,99.51,0.2178,0.84
2016/2/25,100.28,99.345,0.2,0.935
2016/2/26,100.405,99.42,0.2052,0.985
2016/2/29,100.475,99.46,0.2048,1.015
2016/3/1,100.58,99.385,0.2325,1.195
2016/3/2,100.405,99.135,0.2535,1.27
2016/3/3,100.215,98.96,0.2626,1.255
2016/3/4,100.37,99.085,0.2675,1.285
2016/3/7,100.1,98.695,0.2809,1.405
2016/3/8,100.235,98.82,0.275,1.415
2016/3/9,100.41,99.135,0.2684,1.275
2016/3/10,100.57,99.42,0.2604,1.15
2016/3/11,100.76,99.79,0.2726,0.97
2016/3/14,100.69,99.65,0.2613,1.04
2016/3/15,100.685,99.71,0.2565,0.975
2016/3/16,100.8,99.985,0.2461,0.815
2016/3/17,100.63,99.695,0.2494,0.935
2016/3/18,100.655,99.68,0.2675,0.975
2016/3/21,100.54,99.51,0.2621,1.03
2016/3/22,100.63,99.625,0.2665,1.005
2016/3/23,100.62,99.645,0.2818,0.975
2016/3/24,100.72,99.855,0.3011,0.865
2016/3/25,100.775,99.815,0.313,0.96
2016/3/28,100.71,99.615,0.3326,1.095
2016/3/29,101,99.805,0.3357,1.195
2016/3/30,101.075,99.8,0.3644,1.275
2016/3/31,101.01,99.8,0.3699,1.21
2016/4/1,101.055,99.87,0.3706,1.185
2016/4/5,100.875,99.63,0.3761,1.245
2016/4/6,100.86,99.575,0.3725,1.285
2016/4/7,100.85,99.475,0.4102,1.375
2016/4/8,100.975,99.68,0.4114,1.295
2016/4/11,101.04,99.745,0.3881,1.295
2016/4/12,101,99.75,0.384,1.25
2016/4/13,100.74,99.55,0.3092,1.19
2016/4/14,100.42,99.265,0.2902,1.155
2016/4/15,100.635,99.485,0.2816,1.15
2016/4/18,100.71,99.505,0.2789,1.205
2016/4/19,100.715,99.58,0.2669,1.135
