,open,close,high,low,volume,money
2006-05-25,0.99,0.96,1.0,0.93,14660771.0,13958542.0
2006-05-26,0.96,0.96,0.97,0.94,7206333.0,6841763.0
2006-05-29,0.96,0.97,0.99,0.96,8181632.0,7955322.0
2006-05-30,0.97,0.97,0.98,0.95,7262504.0,6971159.0
2006-05-31,0.97,0.94,0.97,0.92,7730578.0,7269130.0
2006-06-01,0.94,0.96,0.97,0.93,7516635.0,7210373.0
2006-06-02,0.97,0.98,1.01,0.96,11291340.0,11117411.0
2006-06-05,0.99,1.01,1.02,0.96,7447616.0,7358523.0
2006-06-06,1.01,0.99,1.03,0.98,7900268.0,7949213.0
2006-06-07,1.01,0.93,1.01,0.91,7988645.0,7633507.0
2006-06-08,0.93,0.94,0.95,0.91,5339623.0,4993647.0
2006-06-09,0.92,0.9,0.95,0.9,3805570.0,3519991.0
2006-06-12,0.89,0.9,0.91,0.88,2478961.0,2225685.0
2006-06-13,0.9,0.92,0.92,0.9,2527646.0,2297365.0
2006-06-14,0.91,0.92,0.93,0.89,2877224.0,2605140.0
2006-06-15,0.92,0.95,0.97,0.92,10518264.0,10083795.0
2006-06-16,0.95,0.96,0.96,0.95,3689679.0,3527134.0
2006-06-19,0.95,0.95,0.96,0.92,4609041.0,4355121.0
2006-06-20,0.93,0.95,0.96,0.93,3361322.0,3163495.0
2006-06-21,0.95,0.95,0.96,0.94,3066079.0,2908179.0
2006-06-22,0.95,0.95,0.95,0.94,3264698.0,3090628.0
2006-06-23,0.95,0.97,0.98,0.94,6298249.0,6070485.0
2006-06-26,0.97,0.98,0.99,0.96,3778902.0,3690016.0
2006-06-27,0.98,0.98,0.98,0.95,3018293.0,2924866.0
2006-06-28,0.98,1.0,1.02,0.96,9552098.0,9557104.0
2006-06-29,0.99,1.0,1.01,0.99,7741733.0,7735755.0
2006-06-30,1.0,1.0,1.0,1.0,0.0,0.0
2006-07-03,0.99,1.0,1.0,0.98,5789278.0,5725926.0
2006-07-04,1.0,0.98,1.02,0.98,4853783.0,4834465.0
2006-07-05,0.98,0.96,0.99,0.95,3853839.0,3709276.0
2006-07-06,0.96,0.98,0.98,0.96,3035127.0,2962271.0
2006-07-07,0.98,1.0,1.01,0.97,5794338.0,5730152.0
2006-07-10,1.0,1.0,1.01,0.98,3872748.0,3865118.0
2006-07-11,1.0,1.02,1.02,1.0,6604069.0,6701710.0
2006-07-12,1.02,1.0,1.02,0.99,5159496.0,5211225.0
2006-07-13,1.0,0.94,1.02,0.93,6895627.0,6696446.0
2006-07-14,0.92,0.95,0.96,0.92,3331926.0,3155622.0
2006-07-17,0.94,0.96,0.96,0.94,2230571.0,2127924.0
2006-07-18,0.96,0.99,0.99,0.94,3577893.0,3479689.0
2006-07-19,0.99,1.03,1.04,0.96,10275569.0,10326069.0
2006-07-20,1.03,1.03,1.05,1.01,8238245.0,8501285.0
2006-07-21,1.03,1.03,1.06,1.02,6599992.0,6852966.0
2006-07-24,1.02,1.07,1.09,0.99,9992946.0,10529827.0
2006-07-25,1.07,1.07,1.09,1.05,6725256.0,7199705.0
2006-07-26,1.06,1.04,1.07,1.03,4794719.0,5008135.0
2006-07-27,1.03,1.03,1.06,1.01,4541104.0,4654049.0
2006-07-28,1.03,1.0,1.04,0.99,3756159.0,3771383.0
2006-07-31,0.99,0.98,1.02,0.96,3858791.0,3795912.0
2006-08-01,0.98,0.97,0.99,0.97,2404631.0,2353763.0
2006-08-02,0.99,0.97,0.99,0.95,2308825.0,2223305.0
2006-08-03,0.96,0.97,0.98,0.95,1204965.0,1157071.0
2006-08-04,0.97,0.94,0.98,0.92,2647305.0,2518971.0
2006-08-07,0.94,0.91,0.94,0.89,2152878.0,1970888.0
2006-08-08,0.91,0.93,0.93,0.9,1606917.0,1472284.0
2006-08-09,0.93,0.92,0.94,0.91,1280128.0,1181525.0
2006-08-10,0.92,0.93,0.94,0.91,1664265.0,1544844.0
2006-08-11,0.93,0.94,0.94,0.93,1750022.0,1641414.0
2006-08-14,0.94,0.89,0.95,0.89,2363994.0,2153512.0
2006-08-15,0.9,0.92,0.92,0.89,1176671.0,1066147.0
2006-08-16,0.92,0.95,0.96,0.9,3246515.0,3052228.0
2006-08-17,0.93,0.98,1.01,0.93,8082198.0,7889537.0
2006-08-18,0.98,0.96,0.98,0.95,2700509.0,2606956.0
2006-08-21,0.94,0.97,0.98,0.93,2760820.0,2608555.0
2006-08-22,0.97,0.97,0.99,0.96,1978759.0,1924480.0
2006-08-23,0.96,0.97,0.99,0.96,1662977.0,1620603.0
2006-08-24,0.95,0.97,0.97,0.95,1346992.0,1300682.0
2006-08-25,0.97,0.95,0.98,0.95,1885141.0,1805015.0
2006-08-28,0.95,0.98,0.99,0.95,3915565.0,3799295.0
2006-08-29,0.98,0.98,0.99,0.97,4394719.0,4316854.0
2006-08-30,0.98,0.99,1.0,0.97,2732027.0,2698174.0
2006-08-31,1.0,0.99,1.01,0.98,2484639.0,2459985.0
2006-09-01,0.98,0.96,0.99,0.95,1857251.0,1800326.0
2006-09-04,0.96,0.98,0.99,0.96,2282933.0,2225119.0
2006-09-05,0.98,1.0,1.0,0.97,4029579.0,3988420.0
2006-09-06,1.0,0.99,1.0,0.97,2385540.0,2346489.0
2006-09-07,0.99,0.97,0.99,0.96,2896603.0,2815007.0
2006-09-08,0.96,0.96,0.98,0.95,2433326.0,2340554.0
2006-09-11,0.96,0.96,0.97,0.94,1731046.0,1654086.0
2006-09-12,0.97,0.98,0.99,0.95,3164514.0,3069928.0
2006-09-13,0.98,0.98,1.0,0.97,5504955.0,5458688.0
2006-09-14,0.99,1.01,1.02,0.98,7381929.0,7413622.0
2006-09-15,1.01,1.03,1.05,1.01,11879494.0,12248523.0
2006-09-18,1.04,1.14,1.14,1.04,16234834.0,18121994.0
2006-09-19,1.16,1.1,1.16,1.09,23074149.0,25698522.0
2006-09-20,1.09,1.08,1.11,1.05,12127542.0,13090055.0
2006-09-21,1.07,1.06,1.09,1.05,8210508.0,8753396.0
2006-09-22,1.07,1.06,1.09,1.05,7108967.0,7590773.0
2006-09-25,1.06,1.06,1.07,1.05,5372659.0,5699373.0
2006-09-26,1.08,1.03,1.08,1.02,5998021.0,6215941.0
2006-09-27,1.02,1.04,1.04,1.02,3328203.0,3426779.0
2006-09-28,1.04,1.05,1.05,1.02,4523982.0,4684524.0
2006-09-29,1.05,1.04,1.06,1.03,4509926.0,4706415.0
2006-10-09,1.05,1.07,1.07,1.04,6127461.0,6497854.0
2006-10-10,1.05,1.04,1.07,1.04,4226870.0,4459011.0
2006-10-11,1.05,1.05,1.05,1.03,4070353.0,4225188.0
2006-10-12,1.05,1.03,1.06,1.02,3901769.0,4056245.0
2006-10-13,1.04,1.03,1.05,1.02,6542017.0,6710759.0
2006-10-16,1.03,1.02,1.03,1.02,3073425.0,3152858.0
2006-10-17,1.03,1.04,1.05,1.02,4680478.0,4874848.0
2006-10-18,1.04,1.05,1.05,1.03,3158674.0,3291976.0
2006-10-19,1.06,1.05,1.06,1.04,4512847.0,4748846.0
2006-10-20,1.05,1.05,1.05,1.03,3504542.0,3644905.0
2006-10-23,1.05,1.0,1.05,0.99,2533774.0,2582551.0
2006-10-24,1.0,1.02,1.02,1.0,3322512.0,3355054.0
2006-10-25,1.0,0.98,1.01,0.97,5753143.0,5682610.0
2006-10-26,0.99,0.98,0.99,0.96,2580466.0,2524337.0
2006-10-27,0.97,0.95,0.98,0.95,3076495.0,2948910.0
2006-10-30,0.95,0.96,0.97,0.94,1484356.0,1418993.0
2006-10-31,0.97,1.0,1.01,0.9,4227357.0,4115734.0
2006-11-01,1.0,1.0,1.0,1.0,0.0,0.0
2006-11-02,0.99,0.97,0.99,0.96,1777631.0,1728014.0
2006-11-03,0.97,0.96,0.98,0.96,2228016.0,2150106.0
2006-11-06,0.96,0.96,0.98,0.96,1501021.0,1448149.0
2006-11-07,0.96,0.95,0.96,0.94,2266099.0,2143900.0
2006-11-08,0.94,0.95,0.95,0.94,1257950.0,1189384.0
2006-11-09,0.94,0.96,0.96,0.94,1077778.0,1028691.0
2006-11-10,0.96,0.93,0.96,0.92,2198604.0,2059248.0
2006-11-13,0.93,0.88,0.93,0.87,2030247.0,1825333.0
2006-11-14,0.9,0.9,0.9,0.87,1125448.0,998122.0
2006-11-15,0.9,0.92,0.93,0.89,1189192.0,1080659.0
2006-11-16,0.92,0.9,0.93,0.9,1588866.0,1438805.0
2006-11-17,0.89,0.9,0.92,0.89,1321034.0,1201021.0
2006-11-20,0.9,0.89,0.9,0.88,1591491.0,1422523.0
2006-11-21,0.88,0.89,0.89,0.87,1664087.0,1468103.0
2006-11-22,0.89,0.91,0.92,0.89,2140084.0,1933283.0
2006-11-23,0.92,0.91,0.93,0.9,1762394.0,1610383.0
2006-11-24,0.91,0.92,0.93,0.9,2511625.0,2301277.0
2006-11-27,0.93,0.93,0.93,0.91,1554233.0,1430541.0
2006-11-28,0.92,0.93,0.95,0.92,2572221.0,2403617.0
2006-11-29,0.94,0.98,0.98,0.94,9785144.0,9472840.0
2006-11-30,0.97,0.97,0.98,0.96,4827788.0,4694363.0
2006-12-01,0.97,0.95,0.97,0.95,2998183.0,2862398.0
2006-12-04,0.95,0.96,0.97,0.94,4098940.0,3917839.0
2006-12-05,0.96,0.98,0.98,0.95,5168183.0,5011552.0
2006-12-06,0.98,0.96,0.99,0.94,3869509.0,3736268.0
2006-12-07,0.98,0.97,0.98,0.96,4264858.0,4162137.0
2006-12-08,0.98,0.95,0.98,0.95,2715630.0,2595655.0
2006-12-11,0.96,0.96,0.96,0.94,1903390.0,1805387.0
2006-12-12,0.97,1.0,1.02,0.97,17599448.0,17547192.0
2006-12-13,0.99,0.96,0.99,0.95,4925579.0,4740603.0
2006-12-14,0.95,0.96,0.96,0.95,4434936.0,4231418.0
2006-12-15,0.96,0.95,0.96,0.94,4596628.0,4357268.0
2006-12-18,0.95,0.95,0.95,0.94,4582877.0,4329920.0
2006-12-19,0.95,0.95,0.96,0.94,4474059.0,4252755.0
2006-12-20,0.95,0.96,0.97,0.94,7511183.0,7194823.0
2006-12-21,0.96,0.96,0.98,0.96,7174395.0,6970588.0
2006-12-22,0.96,0.97,0.98,0.96,4952441.0,4813836.0
2006-12-25,0.97,0.99,0.99,0.97,8516072.0,8353678.0
2006-12-26,0.99,0.99,1.0,0.95,5472996.0,5308440.0
2006-12-27,0.97,0.99,1.0,0.96,5335566.0,5225982.0
2006-12-28,1.0,0.97,1.0,0.95,3788927.0,3659750.0
2006-12-29,0.99,0.98,0.99,0.92,5250189.0,5070911.0
2007-01-04,0.97,0.97,0.98,0.96,5012632.0,4838336.0
2007-01-05,0.95,0.99,0.99,0.95,8171987.0,7982038.0
2007-01-08,1.0,1.01,1.02,0.99,13038135.0,13136733.0
2007-01-09,1.05,1.02,1.05,1.01,15155327.0,15506232.0
2007-01-10,1.02,1.02,1.03,0.99,10947326.0,11026725.0
2007-01-11,1.02,1.04,1.06,1.01,13308521.0,13864498.0
2007-01-12,1.03,1.0,1.05,1.0,8677380.0,8941560.0
2007-01-15,1.0,1.04,1.04,1.0,7898464.0,8049831.0
2007-01-16,1.04,1.04,1.05,1.02,7925046.0,8186180.0
2007-01-17,1.04,1.03,1.07,1.01,9534992.0,9965947.0
2007-01-18,1.03,1.04,1.05,1.01,8052253.0,8271877.0
2007-01-19,1.05,1.08,1.09,1.04,11612929.0,12458680.0
2007-01-22,1.08,1.08,1.08,1.08,0.0,0.0
2007-01-23,1.14,1.15,1.18,1.1,21825918.0,24928205.0
2007-01-24,1.14,1.17,1.18,1.12,13113224.0,15085518.0
2007-01-25,1.17,1.14,1.17,1.13,10489169.0,11948886.0
2007-01-26,1.13,1.12,1.15,1.07,7860488.0,8665274.0
2007-01-29,1.11,1.15,1.16,1.11,7877442.0,8987473.0
2007-01-30,1.15,1.18,1.2,1.14,10930872.0,12841127.0
2007-01-31,1.16,1.12,1.18,1.11,8245793.0,9451900.0
